crate_id	slot	fem_channel	feedthru	faraday_cage_connector	adcreceiver_topbot	wireplane	mboard_id asic_id wirenum larsoft_channel larsoft_wirenum
5		6	32		6		C-4			P2			Y		26	  270	  1824	  6431		  1631
5		9	32		6		C-1			P2			Y		25	  258	  1728	  6527		  1727
5		12	32		6		A-4			P2			Y		24	  246	  1632	  6623		  1823
5		15	32		6		A-1			P2			Y		23	  234	  1536	  6719		  1919
5		18	32		5		C-4			P2			Y		22	  222	  1440	  6815		  2015
5		6	33		6		C-4			P2			Y		26	  270	  1825	  6430		  1630
5		9	33		6		C-1			P2			Y		25	  258	  1729	  6526		  1726
5		12	33		6		A-4			P2			Y		24	  246	  1633	  6622		  1822
5		15	33		6		A-1			P2			Y		23	  234	  1537	  6718		  1918
5		18	33		5		C-4			P2			Y		22	  222	  1441	  6814		  2014
5		6	34		6		C-4			P2			Y		26	  270	  1826	  6429		  1629
5		9	34		6		C-1			P2			Y		25	  258	  1730	  6525		  1725
5		12	34		6		A-4			P2			Y		24	  246	  1634	  6621		  1821
5		15	34		6		A-1			P2			Y		23	  234	  1538	  6717		  1917
5		18	34		5		C-4			P2			Y		22	  222	  1442	  6813		  2013
5		6	35		6		C-4			P2			Y		26	  270	  1827	  6428		  1628
5		9	35		6		C-1			P2			Y		25	  258	  1731	  6524		  1724
5		12	35		6		A-4			P2			Y		24	  246	  1635	  6620		  1820
5		15	35		6		A-1			P2			Y		23	  234	  1539	  6716		  1916
5		18	35		5		C-4			P2			Y		22	  222	  1443	  6812		  2012
5		6	36		6		C-4			P2			Y		26	  270	  1828	  6427		  1627
5		9	36		6		C-1			P2			Y		25	  258	  1732	  6523		  1723
5		12	36		6		A-4			P2			Y		24	  246	  1636	  6619		  1819
5		15	36		6		A-1			P2			Y		23	  234	  1540	  6715		  1915
5		18	36		5		C-4			P2			Y		22	  222	  1444	  6811		  2011
5		6	37		6		C-4			P2			Y		26	  270	  1829	  6426		  1626
5		9	37		6		C-1			P2			Y		25	  258	  1733	  6522		  1722
5		12	37		6		A-4			P2			Y		24	  246	  1637	  6618		  1818
5		15	37		6		A-1			P2			Y		23	  234	  1541	  6714		  1914
5		18	37		5		C-4			P2			Y		22	  222	  1445	  6810		  2010
5		6	38		6		C-4			P2			Y		26	  270	  1830	  6425		  1625
5		9	38		6		C-1			P2			Y		25	  258	  1734	  6521		  1721
5		12	38		6		A-4			P2			Y		24	  246	  1638	  6617		  1817
5		15	38		6		A-1			P2			Y		23	  234	  1542	  6713		  1913
5		18	38		5		C-4			P2			Y		22	  222	  1446	  6809		  2009
5		6	39		6		C-4			P2			Y		26	  270	  1831	  6424		  1624
5		9	39		6		C-1			P2			Y		25	  258	  1735	  6520		  1720
5		12	39		6		A-4			P2			Y		24	  246	  1639	  6616		  1816
5		15	39		6		A-1			P2			Y		23	  234	  1543	  6712		  1912
5		18	39		5		C-4			P2			Y		22	  222	  1447	  6808		  2008
5		6	40		6		C-4			P2			Y		26	  270	  1832	  6423		  1623
