8	6	32	10	C-1	P2	Y	41	450	3264	4991	191
8	9	32	10	A-4	P2	Y	40	438	3168	5087	287
8	12	32	10	A-1	P2	Y	39	426	3072	5183	383
8	15	32	9	C-4	P2	Y	38	414	2976	5279	479
8	18	32	9	C-1	P2	Y	37	402	2880	5375	575
8	6	33	10	C-1	P2	Y	41	450	3265	4990	190
8	9	33	10	A-4	P2	Y	40	438	3169	5086	286
8	12	33	10	A-1	P2	Y	39	426	3073	5182	382
8	15	33	9	C-4	P2	Y	38	414	2977	5278	478
8	18	33	9	C-1	P2	Y	37	402	2881	5374	574
8	6	34	10	C-1	P2	Y	41	450	3266	4989	189
8	9	34	10	A-4	P2	Y	40	438	3170	5085	285
8	12	34	10	A-1	P2	Y	39	426	3074	5181	381
8	15	34	9	C-4	P2	Y	38	414	2978	5277	477
8	18	34	9	C-1	P2	Y	37	402	2882	5373	573
8	6	35	10	C-1	P2	Y	41	450	3267	4988	188
8	9	35	10	A-4	P2	Y	40	438	3171	5084	284
8	12	35	10	A-1	P2	Y	39	426	3075	5180	380
8	15	35	9	C-4	P2	Y	38	414	2979	5276	476
8	18	35	9	C-1	P2	Y	37	402	2883	5372	572
8	6	36	10	C-1	P2	Y	41	450	3268	4987	187
8	9	36	10	A-4	P2	Y	40	438	3172	5083	283
8	12	36	10	A-1	P2	Y	39	426	3076	5179	379
8	15	36	9	C-4	P2	Y	38	414	2980	5275	475
8	18	36	9	C-1	P2	Y	37	402	2884	5371	571
8	6	37	10	C-1	P2	Y	41	450	3269	4986	186
8	9	37	10	A-4	P2	Y	40	438	3173	5082	282
8	12	37	10	A-1	P2	Y	39	426	3077	5178	378
8	15	37	9	C-4	P2	Y	38	414	2981	5274	474
8	18	37	9	C-1	P2	Y	37	402	2885	5370	570
8	6	38	10	C-1	P2	Y	41	450	3270	4985	185
8	9	38	10	A-4	P2	Y	40	438	3174	5081	281
8	12	38	10	A-1	P2	Y	39	426	3078	5177	377
8	15	38	9	C-4	P2	Y	38	414	2982	5273	473
8	18	38	9	C-1	P2	Y	37	402	2886	5369	569
8	6	39	10	C-1	P2	Y	41	450	3271	4984	184
8	9	39	10	A-4	P2	Y	40	438	3175	5080	280
8	12	39	10	A-1	P2	Y	39	426	3079	5176	376
8	15	39	9	C-4	P2	Y	38	414	2983	5272	472
8	18	39	9	C-1	P2	Y	37	402	2887	5368	568
8	6	40	10	C-1	P2	Y	41	450	3272	4983	183
8	9	40	10	A-4	P2	Y	40	438	3176	5079	279
8	12	40	10	A-1	P2	Y	39	426	3080	5175	375
8	15	40	9	C-4	P2	Y	38	414	2984	5271	471
8	18	40	9	C-1	P2	Y	37	402	2888	5367	567
8	6	41	10	C-1	P2	Y	41	450	3273	4982	182
8	9	41	10	A-4	P2	Y	40	438	3177	5078	278
8	12	41	10	A-1	P2	Y	39	426	3081	5174	374
8	15	41	9	C-4	P2	Y	38	414	2985	5270	470
8	18	41	9	C-1	P2	Y	37	402	2889	5366	566
8	6	42	10	C-1	P2	Y	41	450	3274	4981	181
8	9	42	10	A-4	P2	Y	40	438	3178	5077	277
8	12	42	10	A-1	P2	Y	39	426	3082	5173	373
8	15	42	9	C-4	P2	Y	38	414	2986	5269	469
8	18	42	9	C-1	P2	Y	37	402	2890	5365	565
8	6	43	10	C-1	P2	Y	41	450	3275	4980	180
8	9	43	10	A-4	P2	Y	40	438	3179	5076	276
8	12	43	10	A-1	P2	Y	39	426	3083	5172	372
8	15	43	9	C-4	P2	Y	38	414	2987	5268	468
8	18	43	9	C-1	P2	Y	37	402	2891	5364	564
8	6	44	10	C-1	P2	Y	41	450	3276	4979	179
8	9	44	10	A-4	P2	Y	40	438	3180	5075	275
8	12	44	10	A-1	P2	Y	39	426	3084	5171	371
8	15	44	9	C-4	P2	Y	38	414	2988	5267	467
8	18	44	9	C-1	P2	Y	37	402	2892	5363	563
8	6	45	10	C-1	P2	Y	41	450	3277	4978	178
8	9	45	10	A-4	P2	Y	40	438	3181	5074	274
8	12	45	10	A-1	P2	Y	39	426	3085	5170	370
8	15	45	9	C-4	P2	Y	38	414	2989	5266	466
8	18	45	9	C-1	P2	Y	37	402	2893	5362	562
8	6	46	10	C-1	P2	Y	41	450	3278	4977	177
8	9	46	10	A-4	P2	Y	40	438	3182	5073	273
8	12	46	10	A-1	P2	Y	39	426	3086	5169	369
8	15	46	9	C-4	P2	Y	38	414	2990	5265	465
8	18	46	9	C-1	P2	Y	37	402	2894	5361	561
8	6	47	10	C-1	P2	Y	41	450	3279	4976	176
8	9	47	10	A-4	P2	Y	40	438	3183	5072	272
8	12	47	10	A-1	P2	Y	39	426	3087	5168	368
8	15	47	9	C-4	P2	Y	38	414	2991	5264	464
8	18	47	9	C-1	P2	Y	37	402	2895	5360	560
8	6	48	10	C-1	P2	Y	41	451	3280	4975	175
8	9	48	10	A-4	P2	Y	40	439	3184	5071	271
8	12	48	10	A-1	P2	Y	39	427	3088	5167	367
